Gene	Chr	Start	End
UQCRHL	1	15807169	15809348
SPEN	1	15847864	15940460
ZBTB17	1	15941869	15976132
C1orf64	1	16004236	16008807
HSPB7	1	16014028	16019594
CLCNKA	1	16018875	16034050
CLCNKB	1	16043736	16057308
FAM131C	1	16057769	16073632
EPHA2	1	16124337	16156087
ARHGEF19	1	16197854	16212609
RSG1	1	16231700	16237162
FBXO42	1	16246839	16352454
SZRD1	1	16352575	16398145
SPATA21	1	16387117	16437424
NECAP2	1	16440672	16460078
FAM231C	1	16539066	16539575
NBPF1	1	16562319	16613562
FAM231A	1	16673003	16673512
CROCC	1	16740273	16972979
MFAP2	1	16974502	16980835
ATP13A2	1	16985958	17011928
SDHB	1	17018722	17054170
PADI2	1	17066761	17119435
PADI1	1	17205126	17246005
PADI3	1	17249098	17284233
PADI4	1	17308195	17364004
AC004824.2	1	17329012	17331796
PADI6	1	17372196	17401699
RCC2	1	17406760	17439724
ARHGEF10L	1	17539835	17697874
ACTL8	1	17755313	17827063
IGSF21	1	18107746	18378483
KLHDC7A	1	18480982	18486126
PAX7	1	18631006	18748866
TAS1R2	1	18839599	18859682
RP13-279N23.2	1	18849273	18921121
ALDH4A1	1	18871430	18902781
IFFO2	1	18904281	18956686
UBR4	1	19074506	19210276
EMC1	1	19215664	19251552
MRTO4	1	19251539	19260128
AKR7A3	1	19282558	19289250
AKR7A2	1	19303965	19312146
PQLC2	1	19312326	19329300
CAPZB	1	19338776	19485539
MINOS1	1	19596977	19629821
MINOS1-NBL1	1	19596979	19658056
NBL1	1	19640554	19658456
HTR6	1	19665287	19679562
TMCO4	1	19682213	19799945
RNF186	1	19814029	19815278
OTUD3	1	19882513	19912945
PLA2G2E	1	19920009	19923617
PLA2G2A	1	19975431	19980416
PLA2G5	1	20028179	20091190
PLA2G2D	1	20111939	20119566
PLA2G2F	1	20139326	20150386
PLA2G2C	1	20161253	20177424
UBXN10	1	20186085	20196048
VWA5B1	1	20290919	20354894
CAMK2N1	1	20482391	20486220
MUL1	1	20499448	20508161
FAM43B	1	20552439	20555010
CDA	1	20588948	20618908
PINK1	1	20633455	20651511
DDOST	1	20651767	20661544
KIF17	1	20664014	20718017
SH2D5	1	20719732	20732837
HP1BP3	1	20742661	20787323
EIF4G3	1	20806292	21176888
ECE1	1	21217247	21345504
NBPF3	1	21440128	21485005
ALPL	1	21509372	21578412
RAP1GAP	1	21596215	21669363
USP48	1	21678298	21783606
LDLRAD2	1	21812265	21825221
HSPG2	1	21822245	21937297
CELA3B	1	21977021	21998642
CELA3A	1	22001656	22012539
CDC42	1	22052627	22092946
WNT4	1	22117305	22143969
ZBTB40	1	22451851	22531157
EPHA8	1	22563564	22603594
C1QA	1	22636506	22639608
C1QC	1	22643630	22648110
C1QB	1	22652762	22661538
EPHB2	1	22710839	22921500
LACTBL1	1	22953043	22965338
C1orf234	1	23010834	23015850
KDM1A	1	23019448	23083689
LUZP1	1	23084023	23177808
HTR1D	1	23191895	23194729
HNRNPR	1	23303771	23344336
ZNF436	1	23359448	23369442
TCEA3	1	23381061	23424740
ASAP3	1	23428563	23484568
E2F2	1	23506430	23531220
ID3	1	23557918	23559794
MDS2	1	23581495	23640568
RPL11	1	23691779	23696425
TCEB3	1	23743155	23762059
PITHD1	1	23778405	23788232
LYPLA2	1	23790970	23795539
GALE	1	23795599	23800804
HMGCL	1	23801885	23838620
FUCA1	1	23845077	23868294
CNR2	1	23870526	23913362
PNRC2	1	23959109	23963462
SRSF10	1	23964804	23980927
MYOM3	1	24056035	24112175
IL22RA1	1	24119771	24143121
IFNLR1	1	24154157	24187959
GRHL3	1	24319322	24364482
STPG1	1	24356999	24416934
NIPAL3	1	24415794	24472976
RCAN3	1	24502351	24541040
NCMAP	1	24556111	24609328
SRRM1	1	24631716	24673267
CLIC4	1	24745357	24844324
RUNX3	1	24899511	24965121
SYF2	1	25222679	25232502
RSRP1	1	25242237	25338213
RHD	1	25272393	25330445
TMEM50A	1	25337917	25362361
RHCE	1	25362249	25430192
TMEM57	1	25430858	25500209
LDLRAP1	1	25543580	25568886
MAN1C1	1	25617468	25786207
SEPN1	1	25800176	25818224
RP1-317E23.6	1	25811470	25823744
MTFR1L	1	25818640	25832942
AUNIP	1	25831913	25859458
PAQR7	1	25861210	25871253
STMN1	1	25884181	25906991
PAFAH2	1	25959767	25998157
EXTL1	1	26019884	26036464
SLC30A2	1	26037252	26046133
TRIM63	1	26051304	26068436
PDIK1L	1	26111165	26125543
FAM110D	1	26159020	26163962
RP11-96L14.8	1	26164161	26168581
RP11-96L14.7	1	26169516	26171821
ZNF593	1	26169871	26172060
CNKSR1	1	26177403	26189886
CATSPER4	1	26190561	26202968
CEP85	1	26234153	26279038
SH3BGRL3	1	26279176	26281522
UBXN11	1	26281328	26318363
CD52	1	26317957	26320523
AIM1L	1	26321859	26354130
ZNF683	1	26361634	26374522
LIN28A	1	26410778	26429722
DHDDS	1	26432282	26471294
HMGN2	1	26472450	26475972
RPS6KA1	1	26529761	26575030
ARID1A	1	26696033	26782104
PIGV	1	26787472	26798398
ZDHHC18	1	26826710	26857602
SFN	1	26863138	26864457
GPN2	1	26876133	26890297
GPATCH3	1	26890488	26900466
NUDC	1	26900238	26946862
NR0B2	1	26911489	26913966
KDF1	1	26949562	26960406
TRNP1	1	26993707	27000898
FAM46B	1	27005020	27012836
AL137860.1	1	27064991	27065365
SLC9A1	1	27098815	27166981
WDTC1	1	27234516	27308633
TMEM222	1	27322145	27336400
SYTL1	1	27342020	27353937
MAP3K6	1	27355184	27366892
FCN3	1	27369112	27374824
CD164L2	1	27379176	27383380
GPR3	1	27392644	27395814
WASF2	1	27404226	27490158
AHDC1	1	27534035	27604431
FGR	1	27612064	27635277
IFI6	1	27666061	27672218
FAM76A	1	27725979	27763122
STX12	1	27773183	27824452
PPP1R8	1	27830778	27851676
AL109927.1	1	27850574	27850744
THEMIS2	1	27872543	27886685
RPA2	1	27891524	27914746
SMPDL3B	1	27934993	27959157
XKR8	1	27959462	27968096
EYA3	1	27970344	28088696
PTAFR	1	28147166	28193936
DNAJC8	1	28199456	28233025
ATPIF1	1	28236109	28246906
SESN2	1	28259527	28282491
MED18	1	28329002	28335967
PHACTR4	1	28369582	28500369
RCC1	1	28505943	28539300
TRNAU1AP	1	28553085	28578545
TAF12	1	28589323	28643085
RAB42	1	28592200	28595443
GMEB1	1	28668732	28719353
YTHDF2	1	28736621	28769775
OPRD1	1	28812142	28871267
EPB41	1	28887091	29120046
TMEM200B	1	29119428	29123935
SRSF4	1	29147743	29181987
MECR	1	29192873	29230942
PTPRU	1	29236516	29326813
MATN1	1	30711277	30723587
LAPTM5	1	30732469	30757820
SDC3	1	30869467	30908761
PUM1	1	30931506	31065991
NKAIN1	1	31179745	31239554
SNRNP40	1	31259568	31296782
ZCCHC17	1	31296982	31364953
FABP3	1	31365625	31376850
SERINC2	1	31409565	31434680
TINAGL1	1	31576485	31587686
HCRTR1	1	31617686	31632518
PEF1	1	31629862	31644896
COL16A1	1	31652247	31704319
ADGRB2	1	31727117	31764893
SPOCD1	1	31790422	31816051
PTP4A2	1	31906421	31944856
KHDRBS1	1	32013829	32060850
TMEM39B	1	32072031	32102866
KPNA6	1	32108038	32176568
TXLNA	1	32179686	32198285
CCDC28B	1	32200386	32205387
IQCC	1	32205661	32208687
DCDC2B	1	32209094	32216196
TMEM234	1	32214472	32222359
EIF3I	1	32221928	32231604
FAM167B	1	32247233	32248856
LCK	1	32251239	32286165
HDAC1	1	32292086	32333635
MARCKSL1	1	32333832	32336379
TSSK3	1	32351521	32364312
FAM229A	1	32361270	32364278
BSDC1	1	32365103	32394731
RP1-27O5.3	1	32465057	32600792
ZBTB8B	1	32465069	32496686
ZBTB8A	1	32539427	32605939
ZBTB8OS	1	32600172	32650903
RBBP4	1	32651142	32686211
SYNC	1	32680360	32703596
KIAA1522	1	32741885	32774970
YARS	1	32775237	32818153
S100PBP	1	32816767	32858879
FNDC5	1	32862268	32872482
HPCA	1	32885994	32898441
TMEM54	1	32894594	32901438
RNF19B	1	32936445	32964685
AK2	1	33007940	33080996
AZIN2	1	33081104	33120530
TRIM62	1	33145402	33182059
ZNF362	1	33256545	33300719
A3GALT2	1	33306766	33321098
PHC2	1	33323623	33431052
ZSCAN20	1	33472645	33496507
CSMD2	1	33513999	34165842
HMGB4	1	33860475	33864791
C1orf94	1	34166883	34219131
SMIM12	1	34712737	34859816
GJB5	1	34755047	34758512
GJB4	1	34759741	34763724
GJB3	1	34781189	34786369
GJA4	1	34792998	34795747
DLGAP3	1	34865436	34929585
RP11-244H3.4	1	34981533	35031741
ZMYM6NB	1	34981535	34985353
ZMYM6	1	34986165	35031968
ZMYM1	1	35059786	35115859
SFPQ	1	35176378	35193148
ZMYM4	1	35268967	35422058
KIAA0319L	1	35433490	35557950
NCDN	1	35557473	35567274
TFAP2E	1	35573370	35595328
PSMB2	1	35599544	35641844
C1orf216	1	35713875	35719472
CLSPN	1	35720218	35769967
AGO4	1	35808172	35857890
AGO1	1	35869808	35930528
AGO3	1	35930718	36072500
TEKT2	1	36084075	36088275
ADPRHL2	1	36088875	36093932
COL8A2	1	36095236	36125220
TRAPPC3	1	36136570	36156053
MAP7D1	1	36155579	36180849
THRAP3	1	36224416	36305357
SH3D21	1	36306387	36324886
EVA1B	1	36322031	36324154
STK40	1	36339624	36385896
LSM10	1	36391238	36397892
OSCP1	1	36415827	36450451
MRPS15	1	36455718	36464437
CSF3R	1	36466043	36483278
GRIK3	1	36795527	37034129
ZC3H12A	1	37474552	37484379
MEAF6	1	37492575	37514774
SNIP1	1	37534449	37554302
DNALI1	1	37556919	37566857
GNL2	1	37566816	37595935
RSPO1	1	37611350	37634923
C1orf109	1	37681570	37692249
CDCA8	1	37692418	37709719
EPHA10	1	37713880	37765133
MANEAL	1	37793802	37801137
YRDC	1	37802944	37808185
C1orf122	1	37806979	37809454
MTF1	1	37809567	37859620
INPP5B	1	37860697	37947057
SF3A3	1	37956975	37990921
FHL3	1	37996770	38005606
UTP11L	1	38009258	38024824
POU3F1	1	38043827	38046794
RRAGC	1	38838198	38859823
MYCBP	1	38862964	38874105
RP5-864K19.6	1	38864501	38881617
GJA9	1	38874451	38881587
RHBDL2	1	38885807	38941799
AKIRIN1	1	38991223	39006059
NDUFS5	1	39026318	39034636
MACF1	1	39081316	39487177
BMP8A	1	39491646	39525935
PABPC4	1	39560816	39576790
HEYL	1	39624153	39639945
NT5C1A	1	39659121	39672038
HPCAL4	1	39678648	39691689
PPIE	1	39692182	39763914
BMP8B	1	39757182	39788861
OXCT2	1	39769523	39771348
TRIT1	1	39841022	39883511
MYCL	1	39895426	39902256
MFSD2A	1	39955112	39969968
CAP1	1	40040233	40072649
PPT1	1	40072705	40097703
RLF	1	40161373	40240921
TMCO2	1	40245947	40251691
ZMPSTE24	1	40258107	40294184
COL9A2	1	40300487	40317816
SMAP2	1	40344850	40423326
ZFP69B	1	40450102	40463718
ZFP69	1	40477215	40496343
EXO5	1	40508741	40516556
ZNF684	1	40531561	40548169
RIMS3	1	40620679	40665657
NFYC	1	40691570	40771603
KCNQ4	1	40784012	40840452
CITED4	1	40861051	40862366
CTPS1	1	40979335	41012565
SLFNL1	1	41015597	41023237
SCMH1	1	41027200	41242154
FOXO6	1	41361922	41383590
EDN2	1	41478775	41484673
HIVEP3	1	41506365	42035925
GUCA2B	1	42153421	42155824
GUCA2A	1	42162691	42164718
FOXJ3	1	42176539	42335877
RIMKLA	1	42380795	42422578
ZMYND12	1	42430329	42456267
PPCS	1	42456117	42473385
CCDC30	1	42463330	42654664
PPIH	1	42658425	42676758
YBX1	1	42682427	42702349
CLDN19	1	42733093	42740254
P3H1	1	42746335	42767084
C1orf50	1	42767269	42794493
SVBP	1	42807052	42817252
ERMAP	1	42817124	42844989
ZNF691	1	42846573	42852477
SLC2A1	1	42925375	42959173
FAM183A	1	43145153	43156396
EBNA1BP2	1	43164175	43270936
CFAP57	1	43172149	43254358
TMEM125	1	43269994	43274002
C1orf210	1	43281883	43285617
TIE1	1	43300993	43323108
MPL	1	43337807	43352772
CDC20	1	43358955	43363203
ELOVL1	1	43363397	43368074
MED8	1	43383917	43389808
SZT2	1	43389882	43452650
HYI	1	43451003	43453989
PTPRF	1	43525187	43623666
KDM4A	1	43650158	43705515
ST3GAL3	1	43705824	43931165
ARTN	1	43933320	43937241
IPO13	1	43946939	43968022
DPH2	1	43970000	43973369
ATP6V0B	1	43974487	43978295
B4GALT2	1	43978943	43991170
CCDC24	1	43991359	43996528
SLC6A9	1	43991500	44031467
KLF17	1	44118850	44135140
KLF18	1	44137821	44141631
DMAP1	1	44213455	44220681
ERI3	1	44221070	44355260
RNF220	1	44405194	44651724
TMEM53	1	44635238	44674555
C1orf228	1	44674692	44725591
KIF2C	1	44739818	44767767
RPS8	1	44775251	44778779
BEST4	1	44783585	44787705
PLK3	1	44800225	44805990
TCTEX1D4	1	44805913	44806675
BTBD19	1	44808482	44815585
PTCH2	1	44819844	44843063
EIF2B3	1	44850522	44986722
HECTD3	1	45002540	45011329
UROD	1	45012147	45015575
ZSWIM5	1	45016399	45306209
HPDL	1	45326905	45328533
MUTYH	1	45329163	45340470
TOE1	1	45339670	45343975
TESK2	1	45343883	45491166
CCDC163P	1	45493866	45500079
MMACHC	1	45500053	45513382
PRDX1	1	45511036	45523047
AKR1A1	1	45550543	45570049
NASP	1	45583846	45618904
CCDC17	1	45620044	45624057
GPBP1L1	1	45627304	45688113
TMEM69	1	45687214	45694443
IPP	1	45694324	45750650
MAST2	1	45786987	46036124
PIK3R3	1	46040140	46133036
TSPAN1	1	46175073	46185958
RP11-322N21.2	1	46175486	46176478
POMGNT1	1	46188682	46220305
LURAP1	1	46203334	46221261
RAD54L	1	46247688	46278473
LRRC41	1	46261196	46303608
UQCRH	1	46303631	46316776
NSUN4	1	46340177	46365152
FAAH	1	46394265	46413848
DMBX1	1	46506996	46514226
RP11-49P4.7	1	46532166	46533614
KNCN	1	46545644	46551527
MKNK1	1	46557408	46616843
MOB3C	1	46607715	46616891
ATPAF1	1	46632737	46673867
TEX38	1	46668855	46673594
EFCAB14	1	46675159	46719064
CYP4B1	1	46757838	46819413
CYP4A11	1	46929177	46941484
CYP4X1	1	47023568	47050751
CYP4Z1	1	47067488	47118319
CYP4A22	1	47137435	47149741
PDZK1IP1	1	47183593	47191044
TAL1	1	47216290	47232220
STIL	1	47250139	47314147
CMPK1	1	47333797	47378839
FOXE3	1	47416072	47418052
FOXD2	1	47436017	47440691
TRABD2B	1	47760528	47996895
AL356289.1	1	48102068	48104707
SLC5A9	1	48222685	48248644
SPATA6	1	48295372	48472208
AGBL4	1	48532855	50023913
BEND5	1	48727523	48776969
ELAVL4	1	50048014	50203786
DMRTA2	1	50417550	50423500
FAF1	1	50437028	50960263
CDKN2C	1	50960745	50974633
C1orf185	1	51102234	51148086
RNF11	1	51236271	51273455
TTC39A	1	51287258	51345116
EPS15	1	51354263	51519328
OSBPL9	1	51577179	51798427
NRDC	1	51789191	51878937
RAB3B	1	51907956	51990764
TXNDC12	1	52020131	52056171
KTI12	1	52032103	52033816
BTF3L4	1	52056125	52090716
ZFYVE9	1	52142094	52346686
CC2D1B	1	52345723	52366193
ORC1	1	52372829	52404459
PRPF38A	1	52404564	52420839
ZCCHC11	1	52408282	52553487
GPX7	1	52602372	52609051
FAM159A	1	52633344	52669683
COA7	1	52684451	52698366
ZYG11B	1	52726467	52827342
ZYG11A	1	52842511	52894998
ECHDC2	1	52895910	52927212
SCP2	1	52927229	53051703
AL445183.1	1	53053624	53054949
PODN	1	53062052	53085502
SLC1A7	1	53087179	53142632
CPT2	1	53196429	53214197
C1orf123	1	53214099	53220617
MAGOH	1	53226892	53238610
LRP8	1	53242364	53328070
DMRTB1	1	53459399	53467488
GLIS1	1	53506237	53738106
NDC1	1	53765460	53838860
YIPF1	1	53851719	53889834
DIO1	1	53891239	53911086
HSPB11	1	53916574	53945929
LRRC42	1	53946077	53968168
LDLRAD1	1	54007299	54018186
TMEM59	1	54026681	54053504
TCEANC2	1	54053587	54112519
CDCP2	1	54133074	54153770
RP11-446E24.4	1	54141224	54200073
CYB5RL	1	54172336	54200036
MRPL37	1	54184041	54225464
SSBP3	1	54225432	54413479
ACOT11	1	54542257	54639192
FAM151A	1	54609182	54623556
MROH7	1	54641754	54710266
MROH7-TTC4	1	54641786	54742308
TTC4	1	54715822	54742657
PARS2	1	54756898	54764514
TTC22	1	54779712	54801267
LEXM	1	54806063	54842252
DHCR24	1	54849633	54887218
TMEM61	1	54980792	54992293
BSND	1	54998933	55010883
PCSK9	1	55039548	55064852
USP24	1	55066359	55215113
PLPP3	1	56494747	56645301
PRKAA2	1	56645322	56715335
C1orf168	1	56718804	56819696
C8A	1	56854806	56918221
C8B	1	56929210	56966140
DAB1	1	56994778	58546734
OMA1	1	58415384	58546802
TACSTD2	1	58575423	58577773
MYSM1	1	58654739	58700092
JUN	1	58780788	58784327
FGGY	1	59296638	59810647
HOOK1	1	59814786	59876378
CYP2J2	1	59893308	59926790
C1orf87	1	59987269	60073770
NFIA	1	60865259	61462793
TM2D1	1	61681046	61725423
INADL	1	61742477	62178675
L1TD1	1	62194831	62212328
KANK4	1	62236979	62319414
USP1	1	62436297	62451804
DOCK7	1	62454726	62688368
ANGPTL3	1	62597487	62606159
ATG4C	1	62784135	62865513
FOXD3	1	63323041	63325126
ALG6	1	63367590	63438562
ITGB3BP	1	63440770	63593721
EFCAB7	1	63523372	63572693
PGM1	1	63593276	63660245
ROR1	1	63774022	64181498
UBE2U	1	64203627	64267368
CACHD1	1	64470792	64693058
RAVER2	1	64745095	64833232
JAK1	1	64833229	64966504
AK4	1	65147549	65232145
DNAJC6	1	65248219	65415869
LEPROT	1	65420587	65436007
LEPR	1	65420652	65641559
PDE4B	1	65792514	66374579
SGIP1	1	66533383	66748299
TCTEX1D1	1	66752459	66778787
INSL5	1	66797741	66801256
WDR78	1	66812885	66924887
MIER1	1	66924895	66988619
SLC35D1	1	66999332	67054099
C1orf141	1	67092165	67231853
IL23R	1	67166400	67259979
IL12RB2	1	67307364	67396900
SERBP1	1	67407810	67430415
GADD45A	1	67685061	67688338
GNG12	1	67701466	67833467
DIRAS3	1	68045962	68051631
WLS	1	68098473	68233120
RPE65	1	68428822	68449959
DEPDC1	1	68474152	68497221
LRRC7	1	69568398	70151945
LRRC40	1	70144805	70205620
SRSF11	1	70205682	70253052
ANKRD13C	1	70260588	70354734
HHLA3	1	70354805	70385339
AL158839.1	1	70363780	70366135
CTH	1	70411218	70439851
PTGER3	1	70852353	71047808
ZRANB2	1	71063291	71081297
NEGR1	1	71395940	72282734
LRRIQ3	1	74026015	74198187
FPGT	1	74198212	74234086
FPGT-TNNI3K	1	74198235	74543982
TNNI3K	1	74235401	74544428
LRRC53	1	74469878	74512614
ERICH3	1	74568111	74673738
CRYZ	1	74705482	74733408
TYW3	1	74733152	74766678
LHX8	1	75128434	75161533
SLC44A5	1	75202131	75611116
ACADM	1	75724347	75787575
RABGGTB	1	75786197	75795079
MSH4	1	75796882	75913238
ASB17	1	75918873	75932431
ST6GALNAC3	1	76074719	76634601
ST6GALNAC5	1	76867441	77065711
PIGK	1	77088990	77219430
AK5	1	77282051	77559969
ZZZ3	1	77562416	77683419
USP33	1	77695987	77759852
FAM73A	1	77779624	77879539
NEXN	1	77888513	77943895
FUBP1	1	77944055	77979110
DNAJB4	1	77979175	78017964
GIPC2	1	77979542	78138449
PTGFR	1	78303884	78539749
IFI44L	1	78619922	78646145
IFI44	1	78649796	78664078
ADGRL4	1	78889764	79006718
ADGRL2	1	81306160	81992436
TTLL7	1	83865028	83999150
PRKACB	1	84078062	84238498
SAMD13	1	84298366	84389957
DNASE2B	1	84398532	84415018
RPF1	1	84479259	84497790
GNG5	1	84498325	84506565
CTBS	1	84549606	84574480
SSX2IP	1	84643707	84690803
LPAR3	1	84811602	84893213
MCOLN2	1	84925583	84997113
WDR63	1	84999147	85133138
MCOLN3	1	85018082	85048499
SYDE2	1	85156873	85201046
C1orf52	1	85249953	85259672
BCL10	1	85266248	85277090
DDAH1	1	85318481	85578363
CYR61	1	85580761	85583962
ZNHIT6	1	85649423	85708433
COL24A1	1	85729233	86156943
ODF2L	1	86346824	86396342
CLCA2	1	86424086	86456558
CLCA1	1	86468368	86500289
CLCA4	1	86547078	86580754
SH3GLB1	1	86704570	86748184
SEP15	1	86862445	86914424
HS2ST1	1	86914648	87109998
RP5-1052I5.2	1	86993009	87169204
LMO4	1	87328468	87348923
PKN2	1	88684222	88836255
GTF2B	1	88852932	88891944
CCBL2	1	88935773	88992953
RBMXL1	1	88979456	88992960
GBP3	1	89006666	89022894
GBP1	1	89052319	89065360
GBP2	1	89106132	89150456
GBP7	1	89131751	89176040
GBP4	1	89181148	89198932
GBP5	1	89258950	89272804
GBP6	1	89364058	89386461
LRRC8B	1	89524836	89597864
LRRC8C	1	89633072	89769903
